timestamp,type,prox-id,floor,x,y
31-5-2016 09:09, mobile-prox, fbalas001,2,42,73
31-5-2016 09:09, mobile-prox, fbalas001,2,42,73
31-5-2016 09:09, mobile-prox, fbalas001,2,42,73
31-5-2016 09:09, mobile-prox, fbalas001,2,42,73
31-5-2016 09:09, mobile-prox, fbalas001,2,42,73
31-5-2016 09:09, mobile-prox, rmieshaber001,2,22,95
31-5-2016 09:09, mobile-prox, rmieshaber001,2,22,95
31-5-2016 09:09, mobile-prox, rmieshaber001,2,22,95
31-5-2016 09:09, mobile-prox, rmieshaber001,2,22,95
31-5-2016 09:09, mobile-prox, rmieshaber001,2,22,95
31-5-2016 09:09, mobile-prox, ldedos001,2,17,95
31-5-2016 09:09, mobile-prox, ldedos001,2,17,95
31-5-2016 09:10, mobile-prox, tbattles001,2,15,83
31-5-2016 09:10, mobile-prox, tbattles001,2,15,83
31-5-2016 09:10, mobile-prox, tbattles001,2,15,83
31-5-2016 09:10, mobile-prox, eminto001,2,21,81
31-5-2016 09:10, mobile-prox, tbattles001,2,15,83
31-5-2016 09:10, mobile-prox, eminto001,2,21,81
31-5-2016 09:10, mobile-prox, eminto001,2,21,81
31-5-2016 09:10, mobile-prox, tbattles001,2,15,83
31-5-2016 09:10, mobile-prox, yfinney001,2,15,78
31-5-2016 09:10, mobile-prox, eminto001,2,21,81
31-5-2016 09:10, mobile-prox, eminto001,2,21,81
31-5-2016 09:10, mobile-prox, yfinney001,2,15,78
31-5-2016 09:10, mobile-prox, yfinney001,2,15,78
31-5-2016 09:10, mobile-prox, yfinney001,2,15,78
31-5-2016 09:10, mobile-prox, yfinney001,2,15,78
31-5-2016 09:10, mobile-prox, thagan001,2,21,70
31-5-2016 09:10, mobile-prox, thagan001,2,21,70
31-5-2016 09:10, mobile-prox, thagan001,2,21,70
31-5-2016 09:10, mobile-prox, thagan001,2,21,70
31-5-2016 09:10, mobile-prox, thagan001,2,21,70
31-5-2016 09:10, mobile-prox, avico001,2,15,59
31-5-2016 09:10, mobile-prox, avico001,2,15,59
31-5-2016 09:10, mobile-prox, avico001,2,15,59
31-5-2016 09:10, mobile-prox, avico001,2,15,59
31-5-2016 09:10, mobile-prox, avico001,2,15,59
31-5-2016 09:10, mobile-prox, btempestad001,2,21,49
31-5-2016 09:10, mobile-prox, wreynoso001,2,21,49
31-5-2016 09:10, mobile-prox, acalzas001,2,15,49
31-5-2016 09:10, mobile-prox, btempestad001,2,21,49
31-5-2016 09:10, mobile-prox, wreynoso001,2,21,49
